date;natural_gas;dap;tsp;urea;pot_chloride
1999-01-01;2.34;210.97;193.13;74.87;130.59
1999-02-01;2.25;203.56;182.68;71.73;126.09
1999-03-01;2.12;197.80;177.39;82.17;122.43
1999-04-01;2.00;193.21;174.48;69.04;120.42
1999-05-01;2.01;191.84;173.24;68.98;119.57
1999-06-01;1.98;187.31;167.86;66.16;116.75
1999-07-01;2.07;183.24;159.31;64.96;116.47
1999-08-01;2.21;182.81;160.38;69.67;119.29
1999-09-01;2.31;172.61;154.89;70.88;118.13
1999-10-01;2.64;168.09;155.38;69.99;120.45
1999-11-01;2.59;153.32;142.67;68.23;116.31
1999-12-01;2.69;149.12;139.52;67.57;113.74
2000-01-01;3.41;149.22;139.89;78.46;114.04
2000-02-01;3.40;142.10;135.71;88.63;110.64
2000-03-01;3.38;137.90;133.08;85.59;108.49
2000-04-01;3.48;135.41;130.68;78.83;106.53
2000-05-01;3.22;129.55;125.02;82.44;101.92
2000-06-01;3.42;134.78;130.99;99.78;106.78
2000-07-01;3.72;131.83;131.79;114.36;105.71
2000-08-01;3.63;134.37;128.83;120.58;101.71
2000-09-01;3.51;137.36;124.28;99.31;98.11
2000-10-01;3.69;133.32;120.79;95.01;96.21
2000-11-01;3.76;131.46;110.47;85.10;96.34
2000-12-01;3.98;137.74;115.75;86.14;100.95
2001-01-01;4.36;144.96;121.04;113.53;105.56
2001-02-01;4.23;146.55;118.90;97.01;103.69
2001-03-01;4.16;144.73;117.33;89.93;102.32
2001-04-01;4.00;134.96;115.07;85.01;100.35
2001-05-01;3.81;124.13;109.71;74.30;98.34
2001-06-01;3.69;113.58;104.51;74.65;95.98
2001-07-01;3.23;116.19;106.51;75.31;96.82
2001-08-01;3.41;121.57;112.56;79.92;101.30
2001-09-01;3.45;123.00;113.32;86.10;102.50
2001-10-01;3.19;123.11;112.67;87.05;101.91
2001-11-01;3.07;124.81;115.48;85.72;99.93
2001-12-01;3.03;126.42;116.90;90.28;100.39
2002-01-01;2.70;128.96;115.71;91.97;99.37
2002-02-01;2.64;130.72;120.06;86.68;97.88
2002-03-01;2.60;131.15;120.86;79.04;98.53
2002-04-01;2.49;130.93;116.93;75.03;99.66
2002-05-01;2.60;131.93;124.80;78.40;103.16
2002-06-01;2.77;142.84;123.14;88.62;107.49
2002-07-01;2.93;159.25;126.38;93.46;111.62
2002-08-01;2.94;158.89;130.34;102.66;110.00
2002-09-01;3.02;157.81;132.90;91.21;110.34
2002-10-01;3.22;153.30;130.59;90.51;110.37
2002-11-01;3.34;151.71;132.18;92.38;112.65
2002-12-01;3.42;150.19;133.90;101.19;114.55
2003-01-01;3.83;159.06;136.60;118.96;119.50
2003-02-01;3.95;167.25;146.51;142.34;121.20
2003-03-01;4.04;191.49;155.34;150.10;121.57
2003-04-01;4.37;196.88;157.29;128.68;122.04
2003-05-01;4.68;206.66;169.09;148.39;130.30
2003-06-01;4.72;199.78;172.90;156.17;131.21
2003-07-01;4.59;200.57;171.60;162.33;127.93
2003-08-01;4.43;195.62;167.08;157.61;125.31
2003-09-01;4.46;192.23;172.39;164.73;126.24
2003-10-01;4.54;194.52;191.75;176.11;131.53
2003-11-01;4.56;198.20;190.74;179.62;131.65
2003-12-01;4.88;230.36;200.10;195.80;138.21
2004-01-01;4.88;257.62;216.47;202.13;141.90
2004-02-01;4.92;267.47;224.00;170.09;142.27
2004-03-01;4.73;251.73;217.64;160.01;137.94
2004-04-01;4.70;238.96;212.74;153.86;134.84
2004-05-01;4.74;229.46;213.13;163.18;135.08
2004-06-01;4.87;231.39;215.46;192.09;136.56
2004-07-01;5.25;247.16;234.89;226.92;137.99
2004-08-01;5.28;253.38;237.43;238.89;153.30
2004-09-01;5.39;254.74;238.25;266.50;175.33
2004-10-01;6.03;264.47;243.55;302.41;182.35
2004-11-01;6.44;277.76;257.88;291.66;196.43
2004-12-01;6.72;283.07;270.83;248.38;204.47
2005-01-01;7.16;273.67;265.01;242.18;200.07
2005-02-01;7.14;269.56;262.89;241.74;198.47
2005-03-01;7.29;278.04;266.65;286.62;201.31
2005-04-01;7.58;277.84;261.35;313.26;197.30
2005-05-01;7.48;275.71;255.94;324.97;193.58
2005-06-01;7.19;272.80;245.12;264.59;185.51
2005-07-01;7.73;274.75;242.25;267.08;183.57
2005-08-01;8.06;284.57;247.54;256.30;187.46
2005-09-01;8.06;295.07;246.35;257.84;186.91
2005-10-01;8.75;296.01;241.49;258.91;183.22
2005-11-01;8.79;290.08;236.89;276.96;197.41
2005-12-01;8.88;291.51;238.31;253.57;198.59
2006-01-01;9.63;295.68;243.27;244.85;202.73
2006-02-01;9.49;284.28;239.96;255.33;199.97
2006-03-01;9.60;280.82;241.12;292.24;201.34
2006-04-01;10.11;284.38;246.04;303.71;205.54
2006-05-01;10.57;297.40;256.03;293.06;213.89
2006-06-01;10.49;293.95;253.63;265.65;211.89
2006-07-01;10.88;292.10;256.21;260.65;218.79
2006-08-01;11.16;292.42;258.79;269.68;246.62
2006-09-01;11.16;286.53;257.09;273.80;245.00
2006-10-01;11.31;275.55;254.74;263.82;242.76
2006-11-01;11.58;282.59;260.20;292.89;247.97
2006-12-01;11.79;295.75;271.52;332.52;254.35
2007-01-01;11.17;323.93;269.72;344.46;250.22
2007-02-01;11.19;415.27;281.10;391.41;251.68
2007-03-01;11.08;512.46;337.01;421.26;254.91
2007-04-01;10.81;546.86;405.48;393.32;260.19
2007-05-01;10.78;529.64;456.85;396.05;260.09
2007-06-01;10.78;520.47;476.36;391.65;258.31
2007-07-01;11.15;546.57;486.90;369.64;264.03
2007-08-01;11.36;547.11;514.25;355.04;262.23
2007-09-01;11.87;555.34;545.44;423.84;274.45
2007-10-01;13.03;577.64;573.23;460.61;288.11
2007-11-01;13.91;656.36;622.22;537.79;297.34
2007-12-01;13.83;746.73;651.11;585.24;295.05
2008-01-01;15.75;874.06;793.59;554.31;339.43
2008-02-01;15.99;1021.33;1075.71;483.93;353.96
2008-03-01;17.14;1338.70;1359.54;576.03;372.64
2008-04-01;19.20;1501.81;1620.73;728.46;618.99
2008-05-01;19.26;1551.81;1613.26;985.92;849.41
2008-06-01;19.64;1561.65;1622.35;998.49;849.18
2008-07-01;22.66;1696.43;1754.38;1157.10;861.03
2008-08-01;21.92;1594.88;1694.46;1175.57;817.66
2008-09-01;21.34;1408.21;1550.83;1069.81;784.57
2008-10-01;21.22;1212.31;1285.58;766.02;727.39
2008-11-01;20.13;903.98;771.57;366.05;695.18
2008-12-01;20.85;665.75;544.70;322.79;734.34
2009-01-01;18.39;408.91;463.35;362.41;722.83
2009-02-01;14.11;401.12;409.11;359.57;741.67
2009-03-01;14.22;414.72;384.97;350.39;890.65
2009-04-01;11.22;396.53;366.69;323.99;900.24
2009-05-01;11.04;365.66;334.44;322.49;931.64
2009-06-01;11.14;358.96;308.36;335.97;956.62
2009-07-01;9.40;370.86;315.56;343.39;867.27
2009-08-01;9.87;394.37;321.03;358.84;756.20
2009-09-01;10.38;408.64;327.64;338.19;618.87
2009-10-01;11.26;402.45;365.22;348.00;629.70
2009-11-01;11.65;407.46;340.80;363.17;633.87
2009-12-01;11.71;484.44;339.04;382.88;621.08
2010-01-01;12.56;546.62;422.81;380.35;555.72
2010-02-01;12.04;566.07;410.57;407.15;512.36
2010-03-01;12.12;575.98;480.83;378.15;461.33
2010-04-01;10.08;559.69;499.36;340.17;455.79
2010-05-01;9.13;515.18;443.24;294.03;420.31
2010-06-01;9.45;479.18;423.39;276.22;381.52
2010-07-01;10.27;533.95;459.72;331.22;399.06
2010-08-01;10.90;593.00;490.95;339.76;402.94
2010-09-01;10.82;661.19;559.27;403.44;408.34
2010-10-01;11.52;774.46;632.35;462.10;434.31
2010-11-01;11.73;756.95;633.53;499.17;440.57
2010-12-01;11.55;714.71;624.65;503.19;426.35
2011-01-01;12.84;731.31;634.58;505.66;430.85
2011-02-01;12.78;564.55;668.80;406.06;510.98
2011-03-01;13.12;594.26;691.56;390.16;475.97
2011-04-01;14.96;602.94;773.54;366.46;491.02
2011-05-01;14.78;588.29;785.59;335.76;479.96
2011-06-01;14.76;828.59;790.64;688.85;510.79
2011-07-01;15.68;852.47;791.67;690.03;631.19
2011-08-01;15.51;856.86;803.22;682.02;634.69
2011-09-01;14.94;809.50;771.12;700.55;609.32
2011-10-01;15.65;783.18;812.10;676.41;596.23
2011-11-01;15.35;763.87;772.68;652.37;589.67
2011-12-01;15.20;644.13;698.49;557.64;593.06
2012-01-01;14.78;582.53;561.36;474.90;638.79
2012-02-01;14.71;575.91;588.47;495.90;654.59
2012-03-01;15.80;584.64;582.49;518.96;653.45
2012-04-01;15.03;629.13;580.76;650.68;628.47
2012-05-01;14.89;627.30;620.26;656.23;610.67
2012-06-01;14.39;628.35;607.52;572.29;598.13
2012-07-01;13.68;536.85;595.99;377.87;343.46
2012-08-01;13.86;625.58;601.40;474.30;592.10
2012-09-01;14.24;677.98;623.50;494.14;613.86
2012-10-01;15.02;692.17;614.98;452.80;619.52
2012-11-01;15.18;625.83;574.04;491.94;612.52
2012-12-01;15.47;620.33;570.69;493.07;626.45
2013-01-01;15.77;614.24;568.73;504.95;524.88
2013-02-01;15.72;620.53;559.74;555.24;527.68
2013-03-01;15.39;606.21;537.99;512.87;512.06
2013-04-01;16.78;600.66;532.76;476.26;514.53
2013-05-01;15.95;546.87;532.26;464.92;512.79
2013-06-01;15.72;559.37;540.74;434.40;520.96
2013-07-01;15.17;535.79;536.29;408.75;516.67
2013-08-01;15.49;532.88;479.14;413.43;525.73
2013-09-01;15.02;500.28;459.17;401.77;527.24
2013-10-01;15.50;504.49;441.77;404.79;538.58
2013-11-01;15.41;451.17;431.77;411.53;532.97
2013-12-01;15.83;468.15;438.52;417.96;541.29
2014-01-01;15.77;549.00;453.22;449.14;537.60
2014-02-01;15.43;614.80;501.27;482.32;420.17
2014-03-01;15.04;672.47;530.78;452.69;384.96
2014-04-01;14.82;564.93;529.02;359.13;412.99
2014-05-01;14.01;567.91;528.69;363.90;413.17
2014-06-01;13.28;572.75;528.74;392.48;409.81
2014-07-01;12.55;596.57;528.03;412.94;378.42
2014-08-01;12.17;594.56;520.66;414.46;372.18
2014-09-01;11.92;565.21;513.47;409.62;360.59
2014-10-01;12.38;530.67;504.38;402.36;354.20
2014-11-01;11.10;509.80;480.18;395.99;348.60
2014-12-01;12.12;515.91;469.82;379.96;344.66
2015-01-01;10.75;511.63;443.35;354.45;324.82
2015-02-01;9.39;504.07;434.12;346.16;317.22
2015-03-01;8.96;464.72;415.08;320.25;307.14
2015-04-01;7.30;440.87;409.61;280.26;322.30
2015-05-01;7.45;461.10;423.68;295.46;335.46
2015-06-01;7.48;472.50;426.10;323.78;338.08
2015-07-01;7.36;474.47;417.84;312.01;331.52
2015-08-01;7.07;484.13;421.95;305.91;335.84
2015-09-01;7.05;480.27;425.28;313.49;338.32
2015-10-01;6.77;476.09;426.93;281.58;338.74
2015-11-01;5.91;412.13;393.37;283.03;323.69
2015-12-01;5.54;370.50;391.58;287.16;327.95
2016-01-01;4.78;355.25;362.71;253.98;327.42
2016-02-01;4.40;361.63;317.54;212.85;334.45
2016-03-01;4.34;375.31;323.28;223.94;334.65
2016-04-01;4.50;374.76;334.51;222.53;341.88
2016-05-01;4.90;354.60;333.68;224.38;341.03
2016-06-01;5.34;344.31;320.02;160.15;338.55
2016-07-01;5.17;337.81;311.03;200.34;312.69
2016-08-01;4.54;356.60;315.33;208.82;231.52
2016-09-01;4.77;358.79;321.79;210.00;231.53
2016-10-01;5.88;341.81;314.24;206.74;227.69
2016-11-01;6.15;321.81;307.77;221.38;223.00
2016-12-01;5.72;312.73;292.57;229.57;217.71
2017-01-01;6.52;326.92;286.59;248.11;219.19
2017-02-01;6.44;346.95;296.66;204.21;320.88
2017-03-01;5.34;347.92;307.72;238.80;220.64
2017-04-01;5.37;335.75;305.60;222.90;221.42
2017-05-01;5.59;341.95;304.08;197.65;228.34
2017-06-01;5.49;348.45;308.81;214.48;231.89
2017-07-01;5.76;361.16;317.42;208.35;238.57
2017-08-01;6.47;378.70;331.18;227.43;254.44
2017-09-01;7.10;388.30;337.42;260.93;256.76
2017-10-01;7.26;378.98;333.28;296.84;253.34
2017-11-01;7.86;403.79;346.27;328.66;252.95
2017-12-01;8.45;422.85;365.44;254.03;255.07
2018-01-01;8.13;439.64;390.38;267.93;262.90
2018-02-01;8.30;456.87;395.13;287.09;266.10
2018-03-01;8.26;466.31;399.69;286.82;265.84
2018-04-01;8.50;472.33;398.98;283.12;264.55
2018-05-01;8.84;454.03;385.08;262.08;254.55
2018-06-01;8.70;457.32;391.46;261.59;251.67
2018-07-01;8.88;468.31;402.28;295.06;251.83
2018-08-01;9.34;472.35;412.99;300.27;248.88
2018-09-01;11.10;491.57;438.66;311.87;251.24
2018-10-01;10.10;483.19;442.14;310.07;247.48
2018-11-01;9.39;466.27;431.03;347.37;244.96
2018-12-01;9.08;443.61;419.31;314.97;245.33
2019-01-01;8.29;436.26;405.28;296.83;246.02
2019-02-01;6.82;405.67;390.20;284.49;244.62
2019-03-01;5.85;378.67;362.81;279.74;277.48
2019-04-01;5.53;363.84;348.39;278.15;298.38
2019-05-01;4.86;350.53;341.13;276.82;296.95
2019-06-01;4.05;355.61;331.74;279.51;299.84
2019-07-01;4.06;344.97;318.32;295.60;297.85
2019-08-01;4.09;325.89;305.97;292.06;295.40
2019-09-01;4.63;314.44;297.11;261.62;292.15
2019-10-01;5.59;306.58;298.42;261.95;293.45
2019-11-01;5.69;274.06;291.75;248.09;293.40
2019-12-01;5.13;264.68;270.42;241.72;295.06
2020-01-01;4.03;294.05;265.30;239.10;298.27
2020-02-01;3.17;304.66;267.17;233.78;265.41
2020-03-01;3.01;305.59;271.05;255.71;259.99
2020-04-01;2.30;306.31;266.12;255.25;239.37
2020-05-01;1.72;286.72;264.91;220.11;242.24
2020-06-01;1.97;307.25;270.11;227.34;254.64
2020-07-01;2.06;349.75;300.57;245.78;272.26
2020-08-01;3.39;404.38;326.75;295.11;284.32
2020-09-01;4.66;422.62;333.14;295.40;292.16
2020-10-01;5.76;420.49;341.48;288.49;300.27
2020-11-01;5.72;425.73;346.26;290.03;295.95
2020-12-01;7.13;472.79;389.43;298.16;299.78
2021-01-01;8.85;512.76;410.89;322.53;310.97
2021-02-01;7.45;639.83;548.94;405.28;351.60
2021-03-01;7.29;635.57;544.98;419.89;381.82
2021-04-01;8.56;650.94;572.60;393.03;413.88
2021-05-01;10.82;697.94;640.70;402.79;459.27
2021-06-01;12.41;728.55;662.59;473.75;557.18
2021-07-01;14.79;724.68;656.11;521.93;748.32
2021-08-01;18.16;709.99;653.34;526.06;818.14
2021-09-01;26.88;757.71;675.32;492.88;866.59
2021-10-01;36.03;780.66;716.97;806.30;907.24
2021-11-01;31.53;829.45;759.03;1027.83;920.98
2021-12-01;42.99;842.13;776.20;1006.04;912.78
2022-01-01;31.98;791.31;763.03;957.63;888.90
2022-02-01;30.88;847.39;771.25;844.03;898.14
2022-03-01;46.71;1033.72;873.25;961.40;1077.10
2022-04-01;34.84;1032.11;926.08;1000.73;1300.41
2022-05-01;30.86;891.24;875.37;748.43;1237.68
2022-06-01;35.46;828.10;771.44;729.04;1164.23
2022-07-01;52.25;798.03;749.17;611.75;1031.12
2022-08-01;70.94;759.00;712.79;598.84;900.16
2022-09-01;58.53;744.76;701.19;671.48;723.97
2022-10-01;38.34;712.36;663.23;625.16;611.65
2022-11-01;36.44;679.03;637.58;600.60;574.46
2022-12-01;38.17;661.80;618.79;549.96;544.00
2023-01-01;21.74;679.52;613.17;477.87;547.87
2023-02-01;17.72;656.30;586.65;383.06;532.41
2023-03-01;14.79;648.77;575.44;335.63;484.97
2023-04-01;14.83;698.64;603.22;343.71;446.93
2023-05-01;10.99;554.24;527.76;357.81;404.81
2023-06-01;11.22;492.73;422.75;311.65;355.55
2023-07-01;10.56;507.29;433.76;370.04;377.36
2023-08-01;12.21;576.81;491.59;420.68;385.22
2023-09-01;12.34;564.00;493.06;405.98;376.07
2023-10-01;15.39;564.83;494.46;434.52;361.11
2023-11-01;15.66;578.92;500.02;416.66;358.70
2023-12-01;12.55;614.66;487.91;385.97;340.04
2024-01-01;10.42;650.22;491.42;365.74;323.06
2024-02-01;8.80;630.21;490.49;379.16;312.38
2024-03-01;9.30;671.36;488.16;358.78;326.71
2024-04-01;9.75;584.66;474.70;343.29;327.20
2024-05-01;10.95;564.40;470.22;307.93;331.94
2024-06-01;11.69;584.21;509.71;361.77;333.53
2024-07-01;11.22;584.93;548.44;371.41;326.01
2024-08-01;13.63;601.27;558.54;377.17;323.76
2024-09-01;13.09;616.11;560.16;374.83;318.61
2024-10-01;14.09;625.30;549.31;408.64;303.28
2024-11-01;14.80;610.70;521.94;374.50;298.71
2024-12-01;14.52;595.54;500.36;368.85;306.50
2025-01-01;15.18;603.31;494.91;393.96;312.68
2025-02-01;15.97;628.65;500.46;454.51;331.90
2025-03-01;14.30;664.76;517.11;426.33;363.38
2025-04-01;13.00;712.09;556.21;433.85;394.60
2025-05-01;13.15;754.73;610.71;442.10;408.83
2025-06-01;14.24;823.85;738.48;484.26;418.19
2025-07-01;13.57;859.42;764.83;579.17;423.29
2025-08-01;12.97;924.81;771.05;590.53;414.66
2025-09-01;12.98;911.85;776.06;538.65;411.76